,n,u64,"(u64,u64,u64,u64)","(u64,u64,u64,u64,u64,u64,u64,u64)",String
std_vec_with_capacity,100000,0.21304,1.0644,1.7544,7.6679
std_vec_new,100000,0.36804,1.7546,3.3786,8.1289
split_vec_linear,100000,0.33423,0.6469,1.1992,7.4209
split_vec_doubling,100000,0.32956,0.99881,1.7129,7.6628
split_vec_exp,100000,0.34295,0.77111,1.5638,7.3407
std_vec_with_capacity,1000000,3.3733,11.072,19.337,79.363
std_vec_new,1000000,4.7102,18.102,34.35,84.093
split_vec_linear,1000000,4.0094,11.714,19.959,82.045
split_vec_doubling,1000000,4.3239,11.427,19.897,81.19
split_vec_exp,1000000,4.2993,11.329,19.815,79.675
std_vec_with_capacity,10000000,35.26,116.4,201.1,824.22
std_vec_new,10000000,64.605,247.11,472.97,909.73
split_vec_linear,10000000,46.429,120.99,204.91,840.99
split_vec_doubling,10000000,46.429,120.65,203.82,840.34
split_vec_exp,10000000,47.062,119.7,204.39,832.41
